,No.overall,No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
0,41,1,"""The Wars to Come""",Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015",8.00[61]
1,42,2,"""The House of Black and White""",Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015",6.81[62]
2,43,3,"""High Sparrow""",Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015",6.71[63]
3,44,4,"""Sons of the Harpy""",Mark Mylod,Dave Hill,"May 3, 2015",6.82[64]
4,45,5,"""Kill the Boy""",Jeremy Podeswa,Bryan Cogman,"May 10, 2015",6.56[65]
5,46,6,"""Unbowed, Unbent, Unbroken""",Jeremy Podeswa,Bryan Cogman,"May 17, 2015",6.24[66]
6,47,7,"""The Gift""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015",5.40[67]
7,48,8,"""Hardhome""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015",7.01[68]
8,49,9,"""The Dance of Dragons""",David Nutter,David Benioff & D. B. Weiss,"June 7, 2015",7.14[69]
9,50,10,"""Mother's Mercy""",David Nutter,David Benioff & D. B. Weiss,"June 14, 2015",8.11[70]
